DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities,Target
Sambhal,GUNNAUR,GEN,AJEET KUMAR URF RAJU YADAV,M,GEN,41,BJP,107344,1,0,12th Pass,17534467,0,1
Budaun,SHEKHUPUR,GEN,DHARMENDRA KUMAR SINGH SHAKYA,M,GEN,41,BJP,93702,1,2,Graduate,4621093,394000,1
Agra,FATEHABAD,GEN,JITENDRA VERMA,M,GEN,41,BJP,101960,1,0,Literate,26204304,2627000,1
Ghaziabad,LONI,GEN,NANDKISHOR,M,GEN,41,BJP,113088,1,5,Post Graduate,14862924,449817,1
Rae Bareli,HARCHANDPUR,GEN,RAKESH SINGH,M,GEN,41,INC,65104,1,0,Graduate,276128756,12824656,1
Sonbhadra,OBRA (ST),ST,SANJIV KUMAR,M,ST,41,BJP,78058,1,0,Graduate,8795105,0,1
Ambedkar Nagar,TANDA,GEN,SANJU DEVI,F,GEN,41,BJP,74768,1,0,Literate,6228299,0,1
Varanasi,VARANASI CANTT.,GEN,SAURABH KUMAR SRIVASTAVA,M,GEN,41,BJP,132609,1,1,Graduate,37758942,223108,1
Hapur,HAPUR,SC,VIJAY PAL (AADHTI),M,SC,41,BJP,84532,1,0,Literate,10676358,3732119,1
Baghpat,BAGHPAT,GEN,YOGESH DHAMA,M,GEN,41,BJP,92566,1,1,Graduate,25476703,0,1
Lucknow,MOHANLALGANJ,SC,AMBRISH SINGH PUSHKAR,M,SC,42,SP,71574,1,0,Graduate,66085956,1300000,1
Pratapgarh,RAMPUR KHAS,GEN,ARADHANA MISHRA MONA,F,GEN,42,INC,81463,1,0,12th Pass,323325844,0,1
Unnao,SAFIPUR,SC,BAMBA LAL,M,SC,42,BJP,84068,1,0,Graduate,135930422,9.00E+05,1
Sonbhadra,ROBERTSGANJ,GEN,BHUPESH CHAUBEY,M,GEN,42,BJP,89932,1,1,Graduate,1200032,0,1
Sitapur,SIDHAULI,SC,HAR GOVIND BHARGAV,M,SC,42,BSP,78506,1,1,Doctorate,75947726,7805410,1
Rae Bareli,UNCHAHAR,GEN,MANOJ KUMAR PANDEY,M,GEN,42,SP,59103,1,1,Doctorate,104443182,10212959,1
Allahabad,ALLAHABAD SOUTH,GEN,NAND GOPAL GUPTA NANDI,M,GEN,42,BJP,93011,1,7,Literate,571103000,260265000,1
Banda,NARAINI,SC,RAJ KARAN KABIR,M,SC,42,BJP,92412,1,1,Post Graduate,3320750,150000,1
Hardoi,SHAHABAD,GEN,RAJANI TIWARI,F,GEN,42,BJP,99624,1,0,Graduate,27712067,1920000,1
Chandauli,MUGHALSARAI,GEN,SADHANA SINGH,F,GEN,42,BJP,87401,1,7,Graduate,11223629,251655,1
Kaushambi,CHAIL,GEN,SANJAY KUMAR,M,GEN,42,BJP,85713,1,0,Post Graduate,275209590,6794334,1
Kaushambi,SIRATHU,GEN,SHEETLA PRASAD,M,GEN,42,BJP,78621,1,0,Literate,8406845,1726407,1
Mirzapur,MAJHAWAN,GEN,SHUCHISMITA MAURYA,F,GEN,42,BJP,107839,1,0,Post Graduate,468568662,60600000,1
Gonda,MEHNAUN,GEN,VINAY KUMAR,M,GEN,42,BJP,84304,1,1,Graduate,30091914,433059,1
Basti,HARRAIYA,GEN,AJAY KUMAR SINGH,M,GEN,43,BJP,97014,1,1,Post Graduate,74210574,6500000,1
Ghaziabad,MURADNAGAR,GEN,AJIT PAL TYAGI,M,GEN,43,BJP,140759,1,0,Graduate,58849760,3100000,1
Siddharthnagar,SHOHRATGARH,GEN,AMAR SINGH,M,GEN,43,OTHERS,67653,1,0,12th Pass,2277540,0,1
Kanpur Nagar,ARYA NAGAR,GEN,AMITABH BAJPAI,M,GEN,43,SP,70993,1,0,Post Graduate,26090438,4994119,1
Jaunpur,JAUNPUR,GEN,GIRISH CHANDRA YADAV,M,GEN,43,BJP,90324,1,1,Graduate,1350071,64040,1
Maharajganj,MAHARAJGANJ,SC,JAIMANGAL,M,SC,43,BJP,125154,1,1,Literate,11185128,412488,1
Pratapgarh,KUNDA,GEN,RAGHURAJ PRATAP SINGH,M,GEN,43,OTHERS,136597,1,1,Graduate,142584083,0,1
PILIBHIT,PILIBHIT,GEN,SANJAY SINGH GANGWAR,M,GEN,43,BJP,136486,1,0,Graduate,24264912,11078980,1
Azamgarh,MUBARAKPUR,GEN,SHAH ALAM URF GUDDU JAMALI,M,GEN,43,BSP,70705,1,0,Post Graduate,1187621354,28534000,1
Sitapur,MAHOLI,GEN,SHASHANK TRIVEDI,M,GEN,43,BJP,80938,1,0,Graduate,18302435,604951,1
Kheri,LAKHIMPUR,GEN,YOGESH VERMA,M,GEN,43,BJP,122677,1,5,12th Pass,26875816,7837052,1
Varanasi,SHIVPUR,GEN,ANIL,M,GEN,44,BJP,110453,1,2,Post Graduate,3595693,0,1
Azamgarh,LALGANJ,SC,AZAD ARI MARDAN,M,SC,44,BSP,72715,1,0,Graduate,79457007,0,1
Saharanpur,DEOBAND,GEN,BRIJESH,M,GEN,44,BJP,102244,1,0,Graduate,10704601,3464892,1
Hardoi,SAWAYAZPUR,GEN,KUNVAR MADHVENDRA PRATAP,M,GEN,44,BJP,92601,1,0,Graduate,88690394,3866145,1
Kasganj,PATIYALI,GEN,MAMTESH,M,GEN,44,BJP,72414,1,0,Graduate,21903435,8.00E+05,1
Kanpur Nagar,KALYANPUR,GEN,NILIMA KATIYAR,F,GEN,44,BJP,86620,1,1,Post Graduate,25345903,1703357,1
Pratapgarh,VISHWANATH GANJ,GEN,RAKESH KUMAR VERMA,M,GEN,44,OTHERS,81899,1,0,Graduate,72731724,6.00E+05,1
Amethi,GAURIGANJ,GEN,RAKESH PRATAP SINGH,M,GEN,44,SP,77915,1,3,Literate,36061115,9594629,1
Moradabad,MORADABAD NAGAR,GEN,RITESH KUMAR GUPTA,M,GEN,44,BJP,123467,1,0,12th Pass,61914586,14245861,1
Shamli,THANA BHAWAN,GEN,SURESH KUMAR,M,GEN,44,BJP,90995,1,0,12th Pass,9761462,1180000,1
Allahabad,KARACHHANA,GEN,UJJWAL RAMAN SINGH,M,GEN,44,SP,80806,1,0,Graduate,165962271,12082260,1
Maharajganj,PHARENDA,GEN,BAJRANG BAHADUR SINGH,M,GEN,45,BJP,76312,1,0,Graduate,56639946,3588640,1
Kasganj,KASGANJ,GEN,DEVENDRA SINGH RAJPUT,M,GEN,45,BJP,101908,1,2,Literate,25120000,0,1
Bulandsahar,DEBAI,GEN,DR. ANITA LODHI RAJPUT,F,GEN,45,BJP,111807,1,0,Post Graduate,11192678,922000,1
Varanasi,VARANASI SOUTH,GEN,DR. NEELKANTH TIWARI,M,GEN,45,BJP,92560,1,1,Doctorate,3857470,469644,1
Amroha,HASANPUR,GEN,MAHENDRA SINGH KHARGVANSHI,M,GEN,45,BJP,111269,1,0,Literate,7601050,150000,1
Varanasi,SEVAPURI,GEN,NEEL RATAN SINGH PATEL &AMP;QUOT;NEELU&AMP;QUOT;,M,GEN,45,OTHERS,103423,1,1,12th Pass,13808953,0,1
Balrampur,BALRAMPUR,SC,PALTURAM,M,SC,45,BJP,89401,1,1,Post Graduate,23658309,1626985,1
Pratapgarh,PRATAPGARH,GEN,SANGAM LAL GUPTA,M,GEN,45,OTHERS,80828,1,1,Literate,230298400,4047159,1
Basti,RUDHAULI,GEN,SANJAY PRATAP JAISWAL,M,GEN,45,BJP,90228,1,4,Literate,9568447,915000,1
Shahjahanpur,JALALABAD,GEN,SHARADVIR SINGH,M,GEN,45,SP,75326,1,0,Graduate,46062376,0,1
Sitapur,HARGAON,SC,SURESH RAHI,M,SC,45,BJP,101680,1,0,Post Graduate,13181416,0,1
Ghazipur,JAKHANIAN,SC,TRIVENI RAM,M,SC,45,OTHERS,84158,1,0,Literate,9193874,0,1
Ballia,PHEPHANA,GEN,UPENDRA TIWARI,M,GEN,45,BJP,70588,1,6,Post Graduate,12150033,1095473,1
Aligarh,KOIL,GEN,ANIL PARASHAR,M,GEN,46,BJP,93814,1,1,Graduate,49460030,12612097,1
Mirzapur,CHUNAR,GEN,ANURAG SINGH,M,GEN,46,BJP,105608,1,2,Post Graduate,131070498,51807467,1
Lucknow,BAKSHI KAA TALAB,GEN,AVINASH TRIVEDI,M,GEN,46,BJP,96482,1,0,Graduate,23650407,705232,1
Mainpuri,KISHNI,SC,BRAJESH KUMAR,M,SC,46,SP,80475,1,0,Graduate,13424920,2660000,1
Basti,KAPTANGANJ,GEN,CHANDRA PRAKASH,M,GEN,46,BJP,70527,1,0,Illiterate,70132028,6966924,1
Rae Bareli,SARENI,GEN,DHIRENDRA BAHADUR SINGH,M,GEN,46,BJP,65873,1,8,Graduate,4614697,2.00E+05,1
Azamgarh,ATRAULIYA,GEN,DR.SANGRAM YADAV,M,GEN,46,SP,74276,1,2,Doctorate,16000521,0,1
Amethi,TILOI,GEN,MAYANKESHWAR SHARAN SINGH,M,GEN,46,BJP,96119,1,1,Graduate,327129454,0,1
Saharanpur,GANGOH,GEN,PRADEEP KUMAR,M,GEN,46,BJP,99446,1,5,Post Graduate,13552268,1100420,1
Jhansi,JHANSI NAGAR,GEN,RAVI SHARMA,M,GEN,46,BJP,117873,1,1,Graduate,53129576,13586608,1
Bulandsahar,ANUPSHAHR,GEN,SANJAY,M,GEN,46,BJP,112431,1,0,Post Graduate,25114226,6104523,1
Mathura,MATHURA,GEN,SHRIKANT SHARMA,M,GEN,46,BJP,143361,1,0,Graduate,10469364,0,1
Ballia,RASARA,GEN,UMA SHANKER SINGH,M,GEN,46,BSP,92272,1,1,12th Pass,401986172,8241877,1
Etah,ETAH,GEN,VIPIN KUMAR DAVID,M,GEN,46,BJP,82516,1,0,Graduate,108261476,6187625,1
Etah,MARHARA,GEN,VIRENDRA,M,GEN,46,BJP,92507,1,4,Graduate,710000,219780,1
Sonbhadra,GHORAWAL,GEN,ANIL KUMAR MAURYA,M,GEN,47,BJP,114305,1,0,Doctorate,73647495,25291190,1
Saharanpur,RAMPUR MANIHARAN,SC,DEVENDER KUMAR NIM,M,SC,47,BJP,76465,1,0,Graduate,43050274,1.00E+06,1
Sant Kabir Nagar,KHALILABAD,GEN,DIGVIJAY NARAYAN ALIS JAY CHAUBEY,M,GEN,47,BJP,72061,1,0,Illiterate,4126828,596867,1
Bareilly,FARIDPUR,SC,DR. SHYAM BIHARI LAL,M,SC,47,BJP,83656,1,0,Doctorate,23203702,3077733,1
Faizabad,GOSHAINGANJ,GEN,INDRA PRATAP ALIAS KHABBU TIWARI,M,GEN,47,BJP,89586,1,7,12th Pass,1732000,442000,1
Meerut,SIWALKHAS,GEN,JITENDRA PAL SINGH,M,GEN,47,BJP,72842,1,0,Post Graduate,7873475,586376,1
Allahabad,MEJA,GEN,NEELAM KARWARIYA,F,GEN,47,BJP,67807,1,0,Post Graduate,190036935,6413099,1
Kanpur Dehat,RASULABAD,SC,NIRMALA SANKHWAR,F,SC,47,BJP,88390,1,0,Graduate,32077287,1100000,1
Unnao,UNNAO,SC,PANKAJ GUPTA,M,SC,47,BJP,119669,1,1,Graduate,48370123,5295253,1
Bareilly,BITHARI CHAINPUR,GEN,RAJESH KUMAR MISHRA,M,GEN,47,BJP,96397,1,4,Literate,189558870,926730,1
Mainpuri,MAINPURI,GEN,RAJKUMAR ALIAS RAJU YADAV,M,GEN,47,SP,75787,1,2,12th Pass,176092187,2997527,1
Sant Kabir Nagar,MENHDAWAL,GEN,RAKESH KUMAR SINGH,M,GEN,47,BJP,86976,1,1,Illiterate,67319377,450000,1
Shrawasti,SHRAWASTI,GEN,RAM FERAN,M,GEN,47,BJP,79437,1,0,12th Pass,6.00E+07,0,1
Mirzapur,MARIHAN,GEN,RAMA SHANKAR SINGH,M,GEN,47,BJP,106517,1,2,Post Graduate,38145790,3.00E+06,1
Kushinagar,RAMKOLA,SC,RAMANAND,M,SC,47,OTHERS,102782,1,0,Graduate,1195656,0,1
Firozabad,JASRANA,GEN,RAMGOPAL PAPPU LODHI,M,GEN,47,BJP,103426,1,4,12th Pass,32782881,5148706,1
Auraiya,Bidhuna,GEN,VINAY SHAKYA,M,GEN,47,BJP,81905,1,0,Post Graduate,70542000,10372000,1
Allahabad,BARA,SC,DR. AJAI KUMAR,M,SC,48,BJP,79209,1,0,Doctorate,87240211,373363,1
Sitapur,SEVATA,GEN,GYAN TIWARI,M,GEN,48,BJP,94697,1,0,Graduate,55373102,12489981,1
Jaunpur,MACHHLISHAHR,SC,JAGDISH SONKAR,M,SC,48,SP,72368,1,0,Graduate,51892849,1921143,1
Kushinagar,KHADDA,GEN,JATASHANKER TRIPATHI,M,GEN,48,BJP,82537,1,0,Post Graduate,6865670,0,1
Firozabad,SHIKOHABAD,GEN,MUKESH VERMA,M,GEN,48,BJP,87851,1,0,Post Graduate,13142236,540000,1
Gonda,GAURA,GEN,PRABHAT KUMAR VERMA,M,GEN,48,BJP,72455,1,3,Post Graduate,7860200,2300000,1
Barabanki,RUDAULI,GEN,RAM CHANDRA YADAV,M,GEN,48,BJP,90311,1,3,12th Pass,9668014,4563900,1
Balrampur,GAINSARI,GEN,SHAILESH KUMAR SINGH,M,GEN,48,BJP,55716,1,7,Post Graduate,20309830,0,1
Muzaffarnagar,KHATAULI,GEN,VIKRAM SINGH,M,GEN,48,BJP,94771,1,0,12th Pass,319000,0,1
Ghaziabad,DHOLANA,GEN,AAASLAM CHOUDHARY,M,GEN,49,BSP,88580,1,10,Literate,53400236,1184304,1
Allahabad,SORAON,SC,DR.JAMUNA PRASAD SAROJ,M,SC,49,OTHERS,77814,1,0,Post Graduate,13079218,1482616,1
Lucknow,LUCKNOW NORTH,GEN,DR.NEERAJ BORA,M,GEN,49,BJP,109315,1,0,Post Graduate,66121378,24323299,1
Gorakhpur,CAIMPIYARGANJ,GEN,FATEH BAHADUR,M,GEN,49,BJP,91636,1,0,Graduate,78258000,6923000,1
Kanpur Nagar,KIDWAI NAGAR,GEN,MAHESH CHANDRA,M,GEN,49,BJP,111407,1,0,Graduate,90525385,3200000,1
Muzaffarnagar,PURQAZI,SC,PRAMOD UTWAL,M,SC,49,BJP,77491,1,0,Literate,9935502,0,1
Etawah,BHARTHANA,SC,SAVITRI KATHERIA,F,SC,49,BJP,82005,1,0,Literate,2090204,0,1
Barabanki,ZAIDPUR,SC,UPENDRA SINGH,M,SC,49,BJP,111064,1,1,Post Graduate,25659543,3824148,1
Fatehpur,FATEHPUR,GEN,VIKRAM SINGH,M,GEN,49,BJP,89481,1,0,12th Pass,319000,0,1
Gorakhpur,CHILLUPAR,GEN,VINAY SHANKAR TIWARI,M,GEN,49,BSP,78177,1,0,Graduate,676656803,0,1
Kanpur Dehat,BHOGNIPUR,GEN,VINOD KUMAR KATIYAR,M,GEN,49,BJP,71466,1,0,Post Graduate,145667783,0,1
Baharaich,BAHARAICH,GEN,ANUPMA JAISWAL,F,GEN,50,BJP,87479,1,0,Post Graduate,26097506,2163714,1
Unnao,MOHAN,SC,BRIJESH KUMAR,M,SC,50,BJP,104884,1,0,Post Graduate,11391077,5.00E+05,1
Lucknow,LUCKNOW CENTRAL,GEN,BRIJESH PATHAK,M,GEN,50,BJP,78400,1,1,Graduate,23767193,0,1
Gautam Buddha Nagar,JEWAR,GEN,DHIRENDRA SINGH,M,GEN,50,BJP,102979,1,0,Post Graduate,83956737,10447499,1
Bareilly,MEERGANJ,GEN,DR. D.C. VARMA,M,GEN,50,BJP,108789,1,0,Post Graduate,24493809,812000,1
Fatehpur,JAHANABAD,GEN,JAI KUMAR SINGH JAIKI,M,GEN,50,OTHERS,81438,1,0,Graduate,51800872,21001267,1
Hapur,GARHMUKTESHWAR,GEN,KAMAL SINGH MALIK,M,GEN,50,BJP,91086,1,0,Post Graduate,112899369,1379139,1
Bijnor,CHANDPUR,GEN,KAMLESH SAINI,F,GEN,50,BJP,92345,1,0,Post Graduate,8126396,435000,1
Unnao,BANGERMAU,GEN,KULDEEP SINGH SENGAR,M,GEN,50,BJP,87657,1,1,12th Pass,29044307,0,1
Sitapur,BISWAN,GEN,MAHENDRA SINGH,M,GEN,50,BJP,81907,1,0,Post Graduate,34880813,1020000,1
Bijnor,NAGINA,SC,MANOJ KUMAR PARAS,M,SC,50,SP,77145,1,2,12th Pass,21003172,1565435,1
Ghazipur,ZAHOORABAD,GEN,OM PRAKASH RAJBHAR,M,GEN,50,OTHERS,86583,1,1,Graduate,16845133,250000,1
Bijnor,NEHTAUR,SC,OMKUMAR,M,SC,50,BJP,76644,1,0,12th Pass,435176360,112837870,1
Budaun,BILSI,GEN,PT. RADHA KRISHAN SHARMA,M,GEN,50,BJP,82070,1,0,Graduate,34103148,0,1
Siddharthnagar,DOMARIYAGANJ,GEN,RAGHVENDRA PRATAP SINGH,M,GEN,50,BJP,67227,1,1,Graduate,58893920,455515,1
Agra,ETMADPUR,GEN,RAM PRATAP SINGH,M,GEN,50,BJP,137381,1,4,Graduate,1860535,460260,1
Varanasi,VARANASI NORTH,GEN,RAVINDRA JAISAWAL,M,GEN,50,BJP,116017,1,3,Post Graduate,67283263,13174667,1
Etawah,ETAWAH,GEN,SARITA BHADAURIYA,F,GEN,50,BJP,91234,1,1,Graduate,24301448,1650000,1
Muzaffarnagar,CHARTHAWAL,GEN,VIJAY KUMAR KASHYAP,M,GEN,50,BJP,82046,1,0,Post Graduate,6690080,50000,1
Gorakhpur,GORAKHPUR RURAL,GEN,BIPIN SINGH,M,GEN,51,BJP,83686,1,1,Graduate,43386078,643000,1
Jalaun,ORAI,SC,GAURISHANKAR,M,SC,51,BJP,140485,1,1,Literate,2612679,338589,1
Sonbhadra,DUDDHI,ST,HAR IRAM,M,ST,51,OTHERS,64399,1,12,Literate,10624000,1600000,1
Deoria,SALEMPUR,SC,KALI PRASAD,M,SC,51,BJP,76175,1,0,Graduate,2670016,2.00E+05,1
Farrukhabad,FARRUKHABAD,GEN,MEJOR SUNIL DUTT DWIVEDI,M,GEN,51,BJP,93626,1,0,Graduate,17862611,0,1
Shrawasti,BHINGA,GEN,MOHAMMAD ASLAM,M,GEN,51,BSP,76040,1,1,Graduate,30767906,2900000,1
Ghazipur,ZAMANIA,GEN,SUNITA,F,GEN,51,BJP,76823,1,0,Graduate,153833889,25867770,1
Shamli,SHAMLI,GEN,TEJENDRA NIRWAL,M,GEN,51,BJP,70085,1,0,Post Graduate,15258057,3106162,1
